Trade_ID,Ticker,Type,Qty,Entry_Time,Entry_Price,Exit_Time,Exit_Price,PnL,Status,Engine,RSI_At_Entry
tr_1781532117,TSLA,LONG,120,2026-06-15 10:01:57,412.58,2026-06-15 10:42:06,408.34,-508.8,CLOSED,ENGINE_A,44.1
tr_1781532117,NVDA,LONG,208,2026-06-15 10:01:57,209.13,2026-06-15 10:33:28,209.98,176.8,CLOSED,ENGINE_A,44.92
tr_1781532148,AMD,LONG,47,2026-06-15 10:02:28,550.59,2026-06-15 12:20:08,549.83,-35.72,CLOSED,ENGINE_A,23.93
tr_1781532999,MSFT,LONG,57,2026-06-15 10:16:39,398.42,2026-06-15 11:17:11,398.89,26.79,CLOSED,ENGINE_A,47.98
tr_1781533121,META,LONG,34,2026-06-15 10:18:41,591.64,2026-06-15 10:39:32,593.02,46.92,CLOSED,ENGINE_A,47.22
tr_1781534648,NVDA,LONG,202,2026-06-15 10:44:08,209.43,2026-06-15 10:57:19,210.2,155.54,CLOSED,ENGINE_A,46.21
tr_1781534679,TSLA,LONG,88,2026-06-15 10:44:39,409.0,2026-06-15 10:56:49,410.7,149.6,CLOSED,ENGINE_A,27.25
tr_1781536110,TSLA,LONG,104,2026-06-15 11:08:30,407.65,2026-06-15 11:19:13,409.2,161.2,CLOSED,ENGINE_A,33.3
tr_1781536814,NVDA,LONG,217,2026-06-15 11:20:14,211.02,2026-06-15 11:37:29,211.49,101.99,CLOSED,ENGINE_A,44.38
tr_1781536875,META,LONG,55,2026-06-15 11:21:16,595.35,2026-06-15 11:26:50,596.38,56.65,CLOSED,ENGINE_A,48.52
tr_1781537180,MSFT,LONG,72,2026-06-15 11:26:20,398.51,2026-06-15 11:46:38,399.21,50.4,CLOSED,ENGINE_A,46.34
tr_1781537849,TSLA,LONG,85,2026-06-15 11:37:29,409.86,2026-06-15 12:23:12,411.08,103.7,CLOSED,ENGINE_B,42.09
tr_1781539191,META,LONG,52,2026-06-15 11:59:51,599.85,2026-06-15 12:21:40,600.92,55.64,CLOSED,ENGINE_B,50.0
tr_1781539465,NVDA,LONG,155,2026-06-15 12:04:25,212.59,2026-06-15 13:01:21,212.37,-34.1,CLOSED,ENGINE_B,46.96
tr_1781540134,MSFT,LONG,58,2026-06-15 12:15:34,400.82,2026-06-15 12:26:00,401.57,43.5,CLOSED,ENGINE_B,41.28
tr_1781541510,AMD,LONG,68,2026-06-15 12:38:30,549.69,2026-06-15 13:40:28,550.27,39.44,CLOSED,ENGINE_B,31.79
tr_1781541663,META,LONG,55,2026-06-15 12:41:03,597.52,2026-06-15 13:45:33,595.93,-87.45,CLOSED,ENGINE_B,18.21
tr_1781541755,TSLA,LONG,85,2026-06-15 12:42:35,410.36,2026-06-15 13:06:26,410.02,-28.9,CLOSED,ENGINE_B,35.25
tr_1781542059,MSFT,LONG,55,2026-06-15 12:47:39,400.23,2026-06-15 15:03:09,399.05,-64.9,CLOSED,ENGINE_B,28.04
tr_1781543491,NVDA,LONG,171,2026-06-15 13:11:31,212.11,2026-06-15 13:20:09,212.46,59.85,CLOSED,ENGINE_B,46.21
tr_1781544434,TSLA,LONG,88,2026-06-15 13:27:14,409.58,2026-06-15 13:31:18,410.88,114.4,CLOSED,ENGINE_B,46.88
tr_1781544831,TSLA,LONG,88,2026-06-15 13:33:51,410.45,2026-06-15 13:36:23,411.12,58.96,CLOSED,ENGINE_A,49.65
tr_1781545166,NVDA,LONG,171,2026-06-15 13:39:26,212.35,2026-06-15 14:15:29,212.2,-25.65,CLOSED,ENGINE_A,44.49
tr_1781545989,AMD,LONG,62,2026-06-15 13:53:09,549.22,2026-06-15 15:06:12,543.86,-332.32,CLOSED,ENGINE_A,39.76
tr_1781546020,META,LONG,51,2026-06-15 13:53:40,595.54,2026-06-15 15:47:17,593.22,-118.32,CLOSED,ENGINE_A,27.46
tr_1781546234,TSLA,LONG,77,2026-06-15 13:57:14,411.37,2026-06-15 15:57:26,410.32,-80.85,CLOSED,ENGINE_A,46.49
tr_1781547876,NVDA,LONG,139,2026-06-15 14:24:36,212.08,2026-06-15 14:45:23,212.45,51.43,CLOSED,ENGINE_A,49.95
tr_1781550464,AMD,LONG,57,2026-06-15 15:07:44,544.6,2026-06-15 15:25:58,546.74,121.98,CLOSED,ENGINE_A,28.77
tr_1781550493,NVDA,LONG,156,2026-06-15 15:08:13,211.93,2026-06-15 15:48:49,212.0,10.92,CLOSED,ENGINE_A,14.85
tr_1781551589,MSFT,LONG,68,2026-06-15 15:26:29,398.6,2026-06-15 15:36:07,399.13,36.04,CLOSED,ENGINE_A,40.19
